fold,auc
0,0.8026676639242084
1,0.7238219895287958
2,0.7351034654699575
3,0.724607329842932
4,0.7102094240837697
5,0.7429568686113188
6,0.6965220643231114
7,0.725629518823236
8,0.7524869109947643
9,0.7267015706806282
10,0.7784218399401646
11,0.68810770381451
12,0.7666417352281226
13,0.7354712041884817
14,0.7284031413612566
15,0.7024432809773123
16,0.7233233607579157
17,0.7771129394166043
18,0.7119764397905759
19,0.7337696335078535
20,0.7293692346048366
21,0.8578284717028173
22,0.7231363749688358
23,0.7367801047120419
24,0.7611910994764397
25,0.7015706806282722
26,0.7456993268511592
27,0.7454500124657193
28,0.7276178010471204
29,0.7166884816753927
30,0.7020693093991524
31,0.7213288456743954
32,0.7630266766392421
33,0.755955497382199
34,0.7158376963350785
35,0.7323610072301171
36,0.7076788830715532
37,0.7604712041884817
38,0.7199607329842932
39,0.7192408376963351
40,0.7290575916230367
41,0.7159685863874345
42,0.694153577661431
43,0.7267015706806282
44,0.7965968586387435
45,0.7274993767140363
46,0.6986412365993517
47,0.7483171278982796
48,0.8358638743455498
49,0.7276178010471204
50,0.7225130890052356
51,0.7384692096733981
52,0.7245076040887559
53,0.7175392670157068
54,0.7314136125654451
55,0.6953378209922713
56,0.7076165544751931
57,0.7143480428820743
58,0.7571989528795812
59,0.7606020942408377
60,0.7444527549239591
61,0.7166542009473947
62,0.7331089503864374
63,0.7339005235602094
64,0.7161649214659686
65,0.7368486661680378
66,0.7304288207429569
67,0.6879207180254301
68,0.7265052356020942
69,0.7541884816753925
70,0.7088631264023935
71,0.7458239840438794
72,0.7523061580653204
73,0.7053010471204189
74,0.7238874345549738
75,0.7342931937172774
76,0.7561705310396409
77,0.7272500623285962
78,0.7107329842931938
79,0.7073298429319372
80,0.7134754425330342
81,0.712228870605834
82,0.7347294938917976
83,0.731937172774869
84,0.8515706806282722
85,0.7225754176015955
86,0.7580403889304412
87,0.7322363500373972
88,0.699738219895288
89,0.7280104712041884
90,0.7562951882323611
91,0.6910994764397905
92,0.7695711792570431
93,0.6857329842931937
94,0.7215314136125655
95,0.7273123909249564
96,0.7413986537023186
97,0.761967090501122
98,0.6857329842931938
99,0.7412958115183246
