fold,auc
0,0.8070306656694091
1,0.844178509099975
2,0.8334579905260534
3,0.7780104712041885
4,0.837958115183246
5,0.7539267015706808
6,0.8176265270506108
7,0.8294689603590127
8,0.8532722513089006
9,0.8090314136125655
10,0.7465719272001994
11,0.8332086761406133
12,0.8110196958364498
13,0.9312827225130891
14,0.7971204188481675
15,0.7701321366242833
16,0.8668661181750186
17,0.8187484417850909
18,0.8223821989528796
19,0.831544502617801
20,0.6957117925704313
21,0.8093991523310895
22,0.8721017202692595
23,0.800261780104712
24,0.8700261780104712
25,0.8778359511343804
26,0.850037397157816
27,0.7425828970331587
28,0.8
29,0.8270942408376963
30,0.8280977312390926
31,0.7955622039391673
32,0.8413113936674146
33,0.8328534031413612
34,0.7980366492146597
35,0.8631264023934181
36,0.7384692096733981
37,0.8712291199202193
38,0.8250000000000001
39,0.8780104712041885
40,0.8598853153826976
41,0.8639990027424582
42,0.8075292944402892
43,0.8659685863874346
44,0.7438481675392671
45,0.775243081525804
46,0.7801047120418848
47,0.8777112939416604
48,0.8045811518324607
49,0.824738219895288
50,0.8669907753677388
51,0.7926950885066069
52,0.8304662179007729
53,0.8662303664921466
54,0.7747382198952879
55,0.7388431812515582
56,0.806282722513089
57,0.8395661929693343
58,0.8039267015706806
59,0.8962041884816754
60,0.8688606332585389
61,0.8294689603590126
62,0.7741211667913239
63,0.7901832460732984
64,0.8125654450261781
65,0.7907005734230864
66,0.8211169284467714
67,0.8388182498130142
68,0.8151832460732984
69,0.7189790575916231
70,0.8696085764148591
71,0.8721017202692595
72,0.725504861630516
73,0.8425392670157067
74,0.8060209424083769
75,0.7358514086262776
76,0.8167539267015707
77,0.8929194714535028
78,0.8090314136125654
79,0.8358638743455498
80,0.843679880329095
81,0.8155073547743704
82,0.7334829219645973
83,0.8392670157068062
84,0.9051047120418848
85,0.8676140613313388
86,0.8469209673398155
87,0.7592869608576414
88,0.8020942408376963
89,0.8442408376963351
90,0.7925704313138868
91,0.7777362253802045
92,0.7960608327100475
93,0.8537958115183246
94,0.8539267015706806
95,0.8697332336075791
96,0.8391922213911742
97,0.8400648217402145
98,0.8284031413612566
99,0.7465968586387435
