fold,auc
0,0.8825729244577413
1,0.8663674894041385
2,0.9049488905509848
3,0.8914921465968586
4,0.9276178010471204
5,0.8529668411867365
6,0.913363251059586
7,0.8781475941161805
8,0.9174083769633508
9,0.8802356020942408
10,0.8782099227125405
11,0.8729743206182997
12,0.8960359012715035
13,0.9509162303664921
14,0.90065445026178
15,0.8318374470206931
16,0.8612565445026177
17,0.9133009224632261
18,0.9389397905759163
19,0.9383507853403141
20,0.8406881077038145
21,0.8975941161805037
22,0.931126901022189
23,0.8739528795811518
24,0.8739528795811518
25,0.8974071303914235
26,0.8888057840937422
27,0.8971578160059834
28,0.9040575916230367
29,0.9007853403141362
30,0.9021441037147844
31,0.8965345300423834
32,0.8896783844427824
33,0.912434554973822
34,0.8147251308900524
35,0.900024931438544
36,0.8691099476439791
37,0.9229618548990276
38,0.8789267015706805
39,0.8529450261780106
40,0.8949139865370233
41,0.8901770132136625
42,0.8984667165295437
43,0.8981675392670156
44,0.9023560209424083
45,0.9041386187983046
46,0.87465719272002
47,0.9447768636250312
48,0.8615837696335079
49,0.8904450261780104
50,0.856394913986537
51,0.8658065320368985
52,0.9288207429568686
53,0.8518324607329842
54,0.9211387434554974
55,0.8448017950635751
56,0.8882448267265021
57,0.8283470456245325
58,0.9507853403141361
59,0.9259162303664922
60,0.9387309897781101
61,0.8795811518324608
62,0.894103714784343
63,0.900261780104712
64,0.838874345549738
65,0.8702318623784593
66,0.8946023435552231
67,0.8667414609822987
68,0.9445026178010472
69,0.9089659685863875
70,0.8952256295188232
71,0.8730989778110197
72,0.8810770381451009
73,0.8873036649214658
74,0.9168848167539267
75,0.9108077786088257
76,0.8890550984791823
77,0.9392919471453502
78,0.8723821989528795
79,0.8786649214659686
80,0.8739715781600597
81,0.9239591124407878
82,0.8712914485165795
83,0.8734947643979057
84,0.9709424083769633
85,0.8602592869608576
86,0.8614435302916978
87,0.9162926950885065
88,0.9259162303664921
89,0.8904450261780105
90,0.8786462228870606
91,0.8708551483420593
92,0.912615307903266
93,0.9422774869109948
94,0.8320026178010472
95,0.8782099227125405
96,0.9204687110446272
97,0.9030790326601843
98,0.8989528795811518
99,0.8672774869109947
