fold,auc
0,0.8767763649962603
1,0.8388805784093741
2,0.8885564697083022
3,0.880562827225131
4,0.9155759162303665
5,0.8330216903515334
6,0.918972824731987
7,0.8760907504363001
8,0.8965314136125654
9,0.8630235602094241
10,0.8770880079780603
11,0.856519571179257
12,0.8719770630765397
13,0.9417539267015707
14,0.8767670157068063
15,0.8015457491897282
16,0.8303415607080528
17,0.9048242333582647
18,0.9278141361256544
19,0.9226439790575915
20,0.8264148591373721
21,0.8974071303914236
22,0.9207803540264272
23,0.8668848167539267
24,0.8344895287958115
