fold,auc
0,0.9020194465220643
1,0.9445275492395911
2,0.9091249065071054
3,0.8858638743455497
4,0.9435863874345549
5,0.9351782597855895
6,0.9118673647469459
7,0.906382448267265
8,0.9475130890052356
9,0.8952879581151832
10,0.899900274245824
11,0.8716030914983794
12,0.9323111443530292
13,0.9730366492146597
14,0.9130890052356021
15,0.8985290451259038
16,0.9210919970082273
17,0.8906756419845425
18,0.9547120418848167
19,0.9653141361256544
20,0.868237347294939
21,0.9222139117427076
22,0.9380453752181501
23,0.893062827225131
24,0.9468586387434555
25,0.9416604338070307
26,0.9267015706806282
27,0.9359262029419098
28,0.9213350785340313
29,0.894109947643979
30,0.925828970331588
31,0.8805784093742208
32,0.918848167539267
33,0.9528795811518325
34,0.8912303664921466
35,0.9658439291947145
36,0.8863126402393419
37,0.9366741460982297
38,0.8879581151832461
39,0.918979057591623
40,0.9456494639740713
41,0.9517576664173523
42,0.9022687609075043
43,0.9082460732984293
44,0.9071989528795812
45,0.8641236599351781
46,0.8732236350037397
47,0.9634754425330342
48,0.9467277486910994
49,0.9174083769633508
50,0.9042632759910246
51,0.8916728995263027
52,0.9713288456743955
53,0.912958115183246
54,0.899607329842932
55,0.8313388182498129
56,0.906008476689105
57,0.9396659187235105
58,0.9575916230366492
59,0.9518324607329843
60,0.9723261032161555
61,0.8763400648217402
62,0.8809523809523809
63,0.9158376963350786
64,0.9404450261780104
65,0.8935427574171029
66,0.9164796808775867
67,0.9171029668411866
68,0.9395287958115183
69,0.9297120418848167
70,0.955871353777113
71,0.9422837197706307
72,0.8625031164298179
73,0.925261780104712
74,0.9231675392670158
75,0.8840688107703815
76,0.9447768636250311
77,0.9417850909997507
78,0.8946335078534031
79,0.9244764397905759
80,0.9143605086013463
81,0.93742208925455
82,0.8677387185240588
83,0.9219895287958114
84,0.9708115183246073
85,0.8960359012715035
86,0.9228371977063077
87,0.931563201196709
88,0.9232984293193718
89,0.9285340314136126
90,0.9319371727748691
91,0.8539017701321368
92,0.9148591373722263
93,0.9650523560209424
94,0.8818062827225132
95,0.9045125903764647
96,0.944153577661431
97,0.9523809523809523
98,0.9362565445026179
99,0.8115183246073299
